Hours_Elapsed,Gas_MassFlow_kgs,Gas_Temp_In_C,Gas_Temp_Out_C,Gas_Press_In_bar,Gas_Press_Out_bar,Gas_PressureDrop_bar,Water_MassFlow_kgs,Water_Temp_In_C,Water_Temp_Out_C,Water_PressureDrop_bar,Calculated_LMTD_C,Calculated_U_Wm2K,Target_Fouling_Rf
0,34.9673,140.00,29.99,35.0000,24.3141,10.6859,600.0000,30.00,119.76,3.0300,0.00,450.00,0.000000e+00
1,35.4065,140.00,30.51,35.0000,24.3141,10.6859,600.0000,30.52,119.76,3.0300,0.00,449.87,6.297121e-07
2,35.2767,140.00,30.99,35.0000,24.3141,10.6859,600.0000,31.01,119.76,3.0300,0.00,449.75,1.258849e-06
3,34.6875,140.00,31.41,35.0000,24.3141,10.6859,600.0000,31.42,119.76,3.0300,0.00,449.62,1.887411e-06
4,34.6442,140.00,31.75,35.0000,24.3141,10.6859,600.0000,31.75,119.76,3.0300,2.35,449.49,2.515399e-06
5,35.2689,140.00,31.96,35.0000,24.3141,10.6859,600.0000,31.95,119.76,3.0300,2.74,449.36,3.142814e-06
6,35.0757,140.00,32.04,35.0000,24.3141,10.6859,600.0000,32.02,119.76,3.0300,2.97,449.24,3.769657e-06
7,35.0763,140.00,31.99,35.0000,24.3141,10.6859,600.0000,31.96,119.76,3.0300,3.13,449.11,4.395927e-06
8,35.4929,140.00,31.77,35.0000,24.3141,10.6859,600.0000,31.76,119.76,3.0300,2.70,448.99,5.021627e-06
9,35.1216,140.00,31.48,35.0000,24.3141,10.6859,600.0000,31.45,119.76,3.0300,3.21,448.86,5.646756e-06
10,35.4843,140.00,31.06,35.0000,24.3141,10.6859,600.0000,31.04,119.76,3.0300,3.02,448.73,6.271315e-06
11,34.9892,140.00,30.55,35.0000,24.3141,10.6859,600.0000,30.56,119.76,3.0300,0.00,448.61,6.895305e-06
12,35.1689,140.00,30.03,35.0000,24.3141,10.6859,600.0000,30.04,119.76,3.0300,0.00,448.48,7.518726e-06
